study_year,acquisition_date_1,acquisition_date_2,n_days,spearman_rho
2022,2026-08-03,2026-08-04,153,0.9941499146339705
2022,2026-08-03,2026-08-05,153,0.9945220948969796
2022,2026-08-03,2026-08-06,153,0.9935541598869911
2022,2026-08-03,2026-08-07,153,0.9927313770974697
2022,2026-08-03,2026-08-08,153,0.9934702750451371
2022,2026-08-03,2026-08-09,153,0.9956714205439816
2022,2026-08-03,2026-08-11,153,0.9924170642694001
2022,2026-08-03,2026-08-12,153,0.9942997307124616
2022,2026-08-04,2026-08-05,153,0.991550434898377
2022,2026-08-04,2026-08-06,153,0.9917811005023878
2022,2026-08-04,2026-08-07,153,0.992471904104312
2022,2026-08-04,2026-08-08,153,0.9901332026005666
2022,2026-08-04,2026-08-09,153,0.9912812122352709
2022,2026-08-04,2026-08-11,153,0.9916452084707432
2022,2026-08-04,2026-08-12,153,0.9920906899567778
2022,2026-08-05,2026-08-06,153,0.9940694082965872
2022,2026-08-05,2026-08-07,153,0.9932163822632407
2022,2026-08-05,2026-08-08,153,0.9928213437404403
2022,2026-08-05,2026-08-09,153,0.9950236826688922
2022,2026-08-05,2026-08-11,153,0.9937490301514572
2022,2026-08-05,2026-08-12,153,0.9934447780368422
2022,2026-08-06,2026-08-07,153,0.9926745642766097
2022,2026-08-06,2026-08-08,153,0.9913333666955092
2022,2026-08-06,2026-08-09,153,0.9931593286703375
2022,2026-08-06,2026-08-11,153,0.9917598819491934
2022,2026-08-06,2026-08-12,153,0.9937833776370999
2022,2026-08-07,2026-08-08,153,0.991523547683428
2022,2026-08-07,2026-08-09,153,0.9926593904346889
2022,2026-08-07,2026-08-11,153,0.9931340464435238
2022,2026-08-07,2026-08-12,153,0.9933614525869549
2022,2026-08-08,2026-08-09,153,0.9950279458137151
2022,2026-08-08,2026-08-11,153,0.9920328318825431
2022,2026-08-08,2026-08-12,153,0.9939956388090994
2022,2026-08-09,2026-08-11,153,0.9934217532603273
2022,2026-08-09,2026-08-12,153,0.995695105921044
2022,2026-08-11,2026-08-12,153,0.9923352535167929
2023,2026-08-02,2026-08-03,153,0.9972279754785625
2023,2026-08-02,2026-08-04,153,0.9979033759268028
2023,2026-08-02,2026-08-05,153,0.9968558083759549
2023,2026-08-02,2026-08-06,153,0.9970563541036509
2023,2026-08-02,2026-08-07,153,0.99825782876956
2023,2026-08-02,2026-08-08,153,0.9984497388434437
2023,2026-08-02,2026-08-09,153,0.9973067011743492
2023,2026-08-02,2026-08-11,153,0.9971166560598624
2023,2026-08-02,2026-08-12,153,0.9967337540325388
2023,2026-08-03,2026-08-04,153,0.9970233331549267
2023,2026-08-03,2026-08-05,153,0.9972972865609978
2023,2026-08-03,2026-08-06,153,0.9976444538006812
2023,2026-08-03,2026-08-07,153,0.9972470652809259
2023,2026-08-03,2026-08-08,153,0.9971875861682586
2023,2026-08-03,2026-08-09,153,0.9972369950766585
2023,2026-08-03,2026-08-11,153,0.9976947086076219
